country_of_birth_id,sacc_name,country_iso3_code,note
1101,Australia,AUS,
1102,Norfolk Island,NFK,
1199,"Australian External Territories, nec",,Residual 'not elsewhere classified' category
1201,New Zealand,NZL,
1301,New Caledonia,NCL,
1302,Papua New Guinea,PNG,
1303,Solomon Islands,SLB,
1304,Vanuatu,VUT,
1401,Guam,GUM,
1402,Kiribati,KIR,
1403,Marshall Islands,MHL,
1404,"Micronesia, Federated States of",FSM,"Micronesia, Federated States of"
1405,Nauru,NRU,
1406,Northern Mariana Islands,MNP,
1407,Palau,PLW,
1501,Cook Islands,COK,
1502,Fiji,FJI,
1503,French Polynesia,PYF,
1504,Niue,NIU,
1505,Samoa,WSM,
1506,"Samoa, American",ASM,American Samoa
1507,Tokelau,TKL,
1508,Tonga,TON,
1511,Tuvalu,TUV,
1512,Wallis and Futuna,WLF,
1513,Pitcairn Islands,PCN,Pitcairn
1599,"Polynesia (excludes Hawaii), nec",,Residual 'not elsewhere classified' category
1601,Adelie Land (France),ATA,Antarctic territorial claim
1602,Argentinian Antarctic Territory,ATA,Antarctic territorial claim
1603,Australian Antarctic Territory,ATA,Antarctic territorial claim
1604,British Antarctic Territory,ATA,Antarctic territorial claim
1605,Chilean Antarctic Territory,ATA,Antarctic territorial claim
1606,Queen Maud Land (Norway),ATA,Antarctic territorial claim
1607,Ross Dependency (New Zealand),ATA,Antarctic territorial claim
2100,"United Kingdom, Channels Islands and Isle of Man, nfd",GBR,"SACC groups the United Kingdom with the Channel Islands and the Isle of Man, which ISO 3166-1 splits into GBR, GGY, JEY and IMN"
2201,Ireland,IRL,
2301,Austria,AUT,
2302,Belgium,BEL,
2303,France,FRA,
2304,Germany,DEU,
2305,Liechtenstein,LIE,
2306,Luxembourg,LUX,
2307,Monaco,MCO,
2308,Netherlands,NLD,
2311,Switzerland,CHE,
2401,Denmark,DNK,
2402,Faroe Islands,FRO,
2403,Finland,FIN,
2404,Greenland,GRL,
2405,Iceland,ISL,
2406,Norway,NOR,
2407,Sweden,SWE,
2408,Aland Islands,ALA,
3101,Andorra,AND,
3102,Gibraltar,GIB,
3103,Holy See,VAT,
3104,Italy,ITA,
3105,Malta,MLT,
3106,Portugal,PRT,
3107,San Marino,SMR,
3108,Spain,ESP,
3201,Albania,ALB,
3202,Bosnia and Herzegovina,BIH,
3203,Bulgaria,BGR,
3204,Croatia,HRV,
3205,Cyprus,CYP,
3206,North Macedonia,MKD,
3207,Greece,GRC,
3208,Moldova,MDA,
3211,Romania,ROU,
3212,Slovenia,SVN,
3214,Montenegro,MNE,
3215,Serbia,SRB,
3216,Kosovo,,Kosovo has no ISO 3166-1 code
3301,Belarus,BLR,
3302,Czechia,CZE,
3303,Estonia,EST,
3304,Hungary,HUN,
3305,Latvia,LVA,
3306,Lithuania,LTU,
3307,Poland,POL,
3308,Russian Federation,RUS,
3311,Slovakia,SVK,
3312,Ukraine,UKR,
4101,Algeria,DZA,
4102,Egypt,EGY,
4103,Libya,LBY,
4104,Morocco,MAR,
4105,Sudan,SDN,
4106,Tunisia,TUN,
4107,Western Sahara,ESH,
4108,Spanish North Africa,,Spanish North Africa (Ceuta and Melilla) has no ISO 3166-1 code
4111,South Sudan,SSD,
4201,Bahrain,BHR,
4202,Palestine,PSE,"Palestine, State of"
4203,Iran,IRN,
4204,Iraq,IRQ,
4205,Israel,ISR,
4206,Jordan,JOR,
4207,Kuwait,KWT,
4208,Lebanon,LBN,
4211,Oman,OMN,
4212,Qatar,QAT,
4213,Saudi Arabia,SAU,
4214,Syria,SYR,Syrian Arab Republic
4215,Türkiye,TUR,Turkey
4216,United Arab Emirates,ARE,
4217,Yemen,YEM,
5101,"Myanmar, The Republic of the Union of",MMR,Myanmar
5102,Cambodia,KHM,
5103,Laos,LAO,Lao People's Democratic Republic
5104,Thailand,THA,
5105,Vietnam,VNM,Viet Nam
5201,Brunei Darussalam,BRN,
5202,Indonesia,IDN,
5203,Malaysia,MYS,
5204,Philippines,PHL,
5205,Singapore,SGP,
5206,Timor-Leste,TLS,
6101,China (excludes SARs and Taiwan),CHN,
6102,Hong Kong (SAR of China),HKG,
6103,Macau (SAR of China),MAC,Macao
6104,Mongolia,MNG,
6105,Taiwan,TWN,
6201,Japan,JPN,
6202,"Korea, Democratic People's Republic of (North)",PRK,"Korea, Democratic People's Republic of"
6203,"Korea, Republic of (South)",KOR,"Korea, Republic of"
7101,Bangladesh,BGD,
7102,Bhutan,BTN,
7103,India,IND,
7104,Maldives,MDV,
7105,Nepal,NPL,
7106,Pakistan,PAK,
7107,Sri Lanka,LKA,
7201,Afghanistan,AFG,
7202,Armenia,ARM,
7203,Azerbaijan,AZE,
7204,Georgia,GEO,
7205,Kazakhstan,KAZ,
7206,Kyrgyzstan,KGZ,
7207,Tajikistan,TJK,
7208,Turkmenistan,TKM,
7211,Uzbekistan,UZB,
8101,Bermuda,BMU,
8102,Canada,CAN,
8103,St Pierre and Miquelon,SPM,Saint Pierre and Miquelon
8104,United States of America,USA,
8201,Argentina,ARG,
8202,"Bolivia, Plurinational State of",BOL,Bolivia
8203,Brazil,BRA,
8204,Chile,CHL,
8205,Colombia,COL,
8206,Ecuador,ECU,
8207,Falkland Islands,FLK,
8208,French Guiana,GUF,
8211,Guyana,GUY,
8212,Paraguay,PRY,
8213,Peru,PER,
8214,Suriname,SUR,
8215,Uruguay,URY,
8216,"Venezuela, Bolivarian Republic of",VEN,Venezuela
8299,"South America, nec",,Residual 'not elsewhere classified' category
8301,Belize,BLZ,
8302,Costa Rica,CRI,
8303,El Salvador,SLV,
8304,Guatemala,GTM,
8305,Honduras,HND,
8306,Mexico,MEX,
8307,Nicaragua,NIC,
8308,Panama,PAN,
8401,Anguilla,AIA,
8402,Antigua and Barbuda,ATG,
8403,Aruba,ABW,
8404,Bahamas,BHS,
8405,Barbados,BRB,
8406,Cayman Islands,CYM,
8407,Cuba,CUB,
8408,Dominica,DMA,
8411,Dominican Republic,DOM,
8412,Grenada,GRD,
8413,Guadeloupe,GLP,
8414,Haiti,HTI,
8415,Jamaica,JAM,
8416,Martinique,MTQ,
8417,Montserrat,MSR,
8421,Puerto Rico,PRI,
8422,St Kitts and Nevis,KNA,Saint Kitts and Nevis
8423,St Lucia,LCA,Saint Lucia
8424,St Vincent and the Grenadines,VCT,Saint Vincent and the Grenadines
8425,Trinidad and Tobago,TTO,
8426,Turks and Caicos Islands,TCA,
8427,"Virgin Islands, British",VGB,"Virgin Islands, British"
8428,"Virgin Islands, United States",VIR,"Virgin Islands, U.S."
8431,St Barthelemy,BLM,Saint Barthélemy
8432,St Martin (French part),MAF,"Saint Martin, French part"
8433,"Bonaire, Sint Eustatius and Saba",BES,
8434,Curacao,CUW,
8435,Sint Maarten (Dutch part),SXM,
9101,Benin,BEN,
9102,Burkina Faso,BFA,
9103,Cameroon,CMR,
9104,Cabo Verde,CPV,
9105,Central African Republic,CAF,
9106,Chad,TCD,
9107,"Congo, Republic of",COG,"Congo, Republic of the"
9108,"Congo, Democratic Republic of",COD,"Congo, Democratic Republic of the"
