msn,description,unit
ABICB,Aviation gasoline blending components consumed by the industrial sector,Billion Btu
ABICP,Aviation gasoline blending components consumed by the industrial sector,Thousand barrels
ARICB,Asphalt and road oil consumed by the industrial sector,Billion Btu
ARICD,Asphalt and road oil price in the industrial sector,Dollars per million Btu
ARICE,Asphalt and road oil industrial sector CO2 emissions,Million metric tons CO2
ARICP,Asphalt and road oil consumed by the industrial sector,Thousand barrels
ARICV,Asphalt and road oil expenditures in the industrial sector,Million dollars
ARTCB,Asphalt and road oil total consumption,Billion Btu
ARTCD,"Asphalt and road oil average price, all sectors",Dollars per million Btu
ARTCE,Asphalt and road oil total CO2 emissions,Million metric tons CO2
ARTCP,Asphalt and road oil total consumption,Thousand barrels
ARTCV,Asphalt and road oil total expenditures,Million dollars
ARTXB,Asphalt and road oil total end-use consumption,Billion Btu
ARTXD,"Asphalt and road oil average price, all end-use sectors",Dollars per million Btu
ARTXP,Asphalt and road oil total end-use consumption,Thousand barrels
ARTXV,Asphalt and road oil total end-use expenditures,Million dollars
AVACB,Aviation gasoline consumed by the transportation sector,Billion Btu
AVACD,Aviation gasoline price in the transportation sector,Dollars per million Btu
AVACE,Aviation gasoline transportation sector CO2 emissions,Million metric tons CO2
AVACP,Aviation gasoline consumed by the transportation sector,Thousand barrels
AVACV,Aviation gasoline expenditures in the transportation sector,Million dollars
AVTCB,Aviation gasoline total consumption,Billion Btu
AVTCD,"Aviation gasoline average price, all sectors",Dollars per million Btu
AVTCE,Aviation gasoline total CO2 emissions,Million metric tons CO2
AVTCP,Aviation gasoline total consumption,Thousand barrels
AVTCV,Aviation gasoline total expenditures,Million dollars
AVTXB,Aviation gasoline total end-use consumption,Billion Btu
AVTXD,"Aviation gasoline average price, all end-use sectors",Dollars per million Btu
AVTXP,Aviation gasoline total end-use consumption,Thousand barrels
AVTXV,Aviation gasoline total end-use expenditures,Million dollars
B1ABB,Renewable diesel refinery and blender net inputs portion to the transportation sector,Billion Btu
B1ABP,Renewable diesel refinery and blender net inputs portion to the transportation sector,Thousand barrels
B1ACB,Renewable diesel consumed by the transportation sector,Billion Btu
B1ACP,Renewable diesel consumed by the transportation sector,Thousand barrels
B1AUB,Renewable diesel product supplied portion to the transportation sector,Billion Btu
B1AUP,Renewable diesel product supplied portion to the transportation sector,Thousand barrels
B1PRB,Renewable diesel production,Billion Btu
B1PRP,Renewable diesel production,Thousand barrels
B1RIB,Renewable diesel refinery and blender net inputs,Billion Btu
B1RIP,Renewable diesel refinery and blender net inputs,Thousand barrels
B1TCB,Renewable diesel total consumption,Billion Btu
B1TCP,Renewable diesel total consumption,Thousand barrels
BDABB,Biodiesel refinery and blender net inputs portion to the transportation sector,Billion Btu
BDABP,Biodiesel refinery and blender net inputs portion to the transportation sector,Thousand barrels
BDACB,Biodiesel consumed by the transportation sector,Billion Btu
BDACP,Biodiesel consumed by the transportation sector,Thousand barrels
BDAUB,Biodiesel product supplied portion to the transportation sector,Billion Btu
BDAUP,Biodiesel product supplied portion to the transportation sector,Thousand barrels
BDCBB,Biodiesel refinery and blender net inputs portion to the commercial sector,Billion Btu
BDCBP,Biodiesel refinery and blender net inputs portion to the commercial sector,Thousand barrels
BDCCB,Biodiesel consumed by the commercial sector,Billion Btu
BDCCP,Biodiesel consumed by the commercial sector,Thousand barrels
BDCUB,Biodiesel product supplied portion to the commercial sector,Billion Btu
BDCUP,Biodiesel product supplied portion to the commercial sector,Thousand barrels
BDEIB,Biodiesel consumed by the electric power sector,Billion Btu
BDEIK,Factor for converting biodiesel consumed by the electric power sector from physical units to Btu,Million Btu per barrel
BDEIP,Biodiesel consumed by the electric power sector,Thousand barrels
BDEUB,Biodiesel product supplied portion to the electric power sector,Billion Btu
BDEUP,Biodiesel product supplied portion to the electric power sector,Thousand barrels
BDFDB,"Biodiesel production (total biomass inputs as feedstock), including liquids and losses & co-products",Billion Btu
BDLCB,Energy losses and co-products from the production of biodiesel,Billion Btu
BDPRP,Biodiesel liquids production,Thousand barrels
BDRBB,Biodiesel refinery and blender net inputs portion to the residential sector,Billion Btu
BDRBP,Biodiesel refinery and blender net inputs portion to the residential sector,Thousand barrels
BDRCB,Biodiesel consumed by the residential sector,Billion Btu
BDRCP,Biodiesel consumed by the residential sector,Thousand barrels
BDRIB,Biodiesel total refinery and blender net inputs,Billion Btu
BDRIP,Biodiesel total refinery and blender net inputs,Thousand barrels
BDRUB,Biodiesel product supplied portion to the residential sector,Billion Btu
BDRUP,Biodiesel product supplied portion to the residential sector,Thousand barrels
BDSAB,"Adjusted total biodiesel consumption blended with distillate fuel oil, portion to the transportation sector (2009 through 2011 only)",Billion Btu
BDSAP,"Adjusted total biodiesel consumption blended with distillate fuel oil, portion to the transportation sector (2009 through 2011 only)",Thousand barrels
BDSUB,Biodiesel product supplied,Billion Btu
BDSUP,Biodiesel product supplied,Thousand barrels
BDTCB,Biodiesel total consumption,Billion Btu
BDTCK,Factor for converting biodiesel total consumption from physical units to Btu,Million Btu per barrel
BDTCP,Biodiesel total consumption,Thousand barrels
BDTXB,Biodiesel total end-use consumption,Billion Btu
BDTXK,Factor for converting biodiesel used by end-use sectors from physical units to Btu,Million Btu per barrel
BDTXP,Biodiesel total end-use consumption,Thousand barrels
BDXUB,Biodiesel product supplied portion to the end-use sectors,Billion Btu
BDXUP,Biodiesel product supplied portion to the end-use sectors,Thousand barrels
BFLCB,Energy losses and co-products from the production of biofuels,Billion Btu
BFPRB,"Biofuels production (total biomass inputs as feedstock), including liquids and losses & co-products",Billion Btu
BFPRP,Biofuels liquid production,Thousand barrels
BFTCB,Biofuels total consumption,Billion Btu
BMCAS,Biomass generating units capacity factor,Percent
BMTCB,Biomass total consumption,Billion Btu
BOABB,Other biofuels refinery and blender net inputs portion to the transportation sector for the United States,Billion Btu
BOABP,Other biofuels refinery and blender net inputs portion to the transportation sector for the United States,Thousand barrels
BOACB,Other biofuels consumed by the transportation sector for the United States,Billion Btu
BOACP,Other biofuels consumed by the transportation sector for the United States,Thousand barrels
BOAUB,Other biofuels product supplied portion to the transportation sector for the United States,Billion Btu
BOAUP,Other biofuels product supplied portion to the transportation sector for the United States,Thousand barrels
BOPRB,Other biofuels total production for the United States,Billion Btu
BOPRP,Other biofuels total production for the United States,Thousand barrels
BORIB,Other biofuels refinery and blender net inputs for the United States,Billion Btu
BORIP,Other biofuels refinery and blender net inputs for the United States,Thousand barrels
BOTCB,Other biofuels total consumption for the United States,Billion Btu
BOTCP,Other biofuels total consumption for the United States,Thousand barrels
BQICB,Normal butane consumed by the industrial sector,Billion Btu
BQICP,Normal butane consumed by the industrial sector,Thousand barrels
BQTCB,Normal butane total consumption,Billion Btu
BQTCP,Normal butane total consumption,Thousand barrels
BTCAS,Battery storage generating units usage factor,Percent
BTGBP,Battery storage units net summer capacity in all sectors,Thousand kilowatts
BTVHN,Battery electric vehicle (BEV) light-duty stocks,Thousands of registered vehicles
BTVHP,Electricity consumed for battery electric vehicle (BEV) use,Million kilowatthours
BXSUB,Total biofuels (excluding fuel ethanol) product supplied,Billion Btu
BXSUP,Total biofuels (excluding fuel ethanol) product supplied,Thousand barrels
BYICB,Butylene from refineries consumed by the industrial sector,Billion Btu
BYICP,Butylene from refineries consumed by the industrial sector,Thousand barrels
BYTCB,Butylene from refineries total consumption,Billion Btu
BYTCP,Butylene from refineries total consumption,Thousand barrels
CCEXB,Coal coke exported from the United States,Billion Btu
CCEXD,"Coal coke exports average price, United States",Dollars per million Btu
CCEXP,Coal coke exported from the United States,Thousand short tons
CCEXV,"Coal coke exports expenditures, United States",Million dollars
CCIMB,Coal coke imported into the United States,Billion Btu
CCIMD,"Coal coke imports average price, United States",Dollars per million Btu
CCIMP,Coal coke imported into the United States,Thousand short tons
CCIMV,"Coal coke imports expenditures, United States",Million dollars
CCNIB,Coal coke net imports into the United States,Billion Btu
CCNIE,Coal coke net imports CO2 emissions into the United States,Million metric tons CO2
CCNIP,Coal coke net imports into the United States,Thousand short tons
CCNIV,"Coal coke net imports expenditures, United States",Million dollars
CDEGR,Carbon intensity of the economy (CO2 emissions divided by real GDP),Metric tons CO2 per million chained (2017) dollars
CDTCR,Carbon intensity of energy supply (CO2 emissions divided by total energy consumption less interstate flow of electricity),Metric tons CO2 per billion Btu
CDTPR,Per capita energy-related CO2 emissions,Metric tons CO2
CLACB,Coal consumed by the transportation sector,Billion Btu
CLACD,Coal price in the transportation sector,Dollars per million Btu
CLACE,Coal CO2 emissions for the transportation sector (through 1977),Million metric tons CO2
CLACK,Factor for converting coal consumed by the transportation sector from physical units to Btu,Million Btu per short ton
CLACP,Coal consumed by the transportation sector,Thousand short tons
CLACV,Coal expenditures in the transportation sector,Million dollars
CLCAS,Coal generating units capacity factor,Percent
CLCCB,Coal consumed by the commercial sector,Billion Btu
CLCCD,Coal price in the commercial sector,Dollars per million Btu
CLCCE,Coal CO2 emissions for the commercial sector,Million metric tons CO2
CLCCP,Coal consumed by the commercial sector,Thousand short tons
CLCCV,Coal expenditures in the commercial sector,Million dollars
CLEIB,Coal consumed by the electric power sector,Billion Btu
CLEID,Coal price in the electric power sector,Dollars per million Btu
CLEIE,Coal CO2 emissions for the electric power sector,Million metric tons CO2
CLEIK,Factor for converting coal consumed by the electric power sector from physical units to Btu,Million Btu per short ton
CLEIP,Coal consumed by the electric power sector,Thousand short tons
CLEIV,Coal expenditures in the electric power sector,Million dollars
CLGBP,Coal generating units net summer capacity in all sectors,Thousand kilowatts
CLHCK,Factor for converting coal consumed by the residential and commercial sectors from physical units to Btu,Million Btu per short ton
CLICB,Coal consumed by the industrial sector,Billion Btu
CLICD,Coal price in the industrial sector,Dollars per million Btu
CLICE,Coal CO2 emissions for the industrial sector,Million metric tons CO2
CLICP,Coal consumed by the industrial sector,Thousand short tons
CLICV,Coal expenditures in the industrial sector,Million dollars
CLISB,Coal consumed by the industrial sector excluding refinery fuel,Billion Btu
CLKCB,Coal consumed at coke plants (coking coal),Billion Btu
CLKCD,Coal price at coke plants,Dollars per million Btu
CLKCK,Factor for converting coal consumed at coke plants from physical units to Btu,Million Btu per short ton
CLKCP,Coal consumed by coke plants (coking coal),Thousand short tons
CLKCV,Coal expenditures at coke plants,Million dollars
CLOCB,Coal consumed by industrial users other than coke plants,Billion Btu
CLOCD,Coal price in the industrial sector other than coke plants,Dollars per million Btu
