variable_name,xpath,form_type,rdb_table,data_type_simple
F9_00_EXEMPT_STAT_4947A1_X,/Return/ReturnData/IRS990EZ/Organization4947a1,EZ,F9-P00-T00-HEADER,checkbox
F9_00_EXEMPT_STAT_4947A1_X,/Return/ReturnData/IRS990EZ/Organization4947a1NotPFInd,EZ,F9-P00-T00-HEADER,checkbox
F9_00_EXEMPT_STAT_4947A1_X,/Return/ReturnData/IRS990/Form990PartI/Organization4947a1,PC,F9-P00-T00-HEADER,checkbox
F9_00_EXEMPT_STAT_4947A1_X,/Return/ReturnData/IRS990/Organization4947a1,PC,F9-P00-T00-HEADER,checkbox
F9_00_EXEMPT_STAT_4947A1_X,/Return/ReturnData/IRS990/Organization4947a1NotPFInd,PC,F9-P00-T00-HEADER,checkbox
F9_00_EXEMPT_STAT_501C3_X,/Return/ReturnData/IRS990EZ/Organization501c3,EZ,F9-P00-T00-HEADER,checkbox
F9_00_EXEMPT_STAT_501C3_X,/Return/ReturnData/IRS990EZ/Organization501c3Ind,EZ,F9-P00-T00-HEADER,checkbox
F9_00_EXEMPT_STAT_501C3_X,/Return/ReturnData/IRS990/Organization501c3,PC,F9-P00-T00-HEADER,checkbox
F9_00_EXEMPT_STAT_501C3_X,/Return/ReturnData/IRS990/Organization501c3Ind,PC,F9-P00-T00-HEADER,checkbox
F9_00_EXEMPT_STAT_501C_X,/Return/ReturnData/IRS990EZ/Organization501c,EZ,F9-P00-T00-HEADER,checkbox
F9_00_EXEMPT_STAT_501C_X,/Return/ReturnData/IRS990EZ/Organization501cInd,EZ,F9-P00-T00-HEADER,checkbox
F9_00_EXEMPT_STAT_501C_X,/Return/ReturnData/IRS990/Form990PartI/Organization501c,PC,F9-P00-T00-HEADER,checkbox
F9_00_EXEMPT_STAT_501C_X,/Return/ReturnData/IRS990/Organization501c,PC,F9-P00-T00-HEADER,checkbox
F9_00_EXEMPT_STAT_501C_X,/Return/ReturnData/IRS990/Organization501cInd,PC,F9-P00-T00-HEADER,checkbox
F9_00_EXEMPT_STAT_527_X,/Return/ReturnData/IRS990/Form990PartI/Organization527,PC,F9-P00-T00-HEADER,checkbox
