name,bigquery_type,description,temporal_coverage,covered_by_dictionary,directory_column,measurement_unit,has_sensitive_data,observations,observations_en,observations_es,original_name,description_en,description_es
year,INT64,"Ano de referência, correspondente à edição anual de dezembro",,no,br_bd_diretorios_data_tempo.ano:ano,year,no,As estatísticas são um retrato do mês de dezembro do ano de referência.,The statistics are a snapshot of December of the reference year.,Las estadísticas son una instantánea de diciembre del año de referencia.,month,"Reference year, corresponding to the annual December edition","Año de referencia, correspondiente a la edición anual de diciembre"
state_id,STRING,Código ANSI (FIPS) de dois dígitos do estado,,no,br_bd_diretorios_us.state:id_state,,no,"Nulo nas linhas que não correspondem a um estado: 'All areas' (total nacional), 'Other', 'Foreign countries' e 'Unknown'.","Null on rows that do not correspond to a state: 'All areas' (the national total), 'Other', 'Foreign countries' and 'Unknown'.","Nulo en las filas que no corresponden a un estado: 'All areas' (el total nacional), 'Other', 'Foreign countries' y 'Unknown'.",ansi,Two-digit state ANSI (FIPS) code,Código ANSI (FIPS) de dos dígitos del estado
county_id,STRING,Código ANSI (FIPS) de cinco dígitos do condado ou cidade independente,,no,br_bd_diretorios_us.county:id_county,,no,"A SSA só passou a publicar o código ANSI na edição de 2008 (OASDI) ou 2009 (SSI); para os anos anteriores o código foi reconstruído a partir do próprio arquivo da SSA, cruzando estado e nome do condado com os anos já codificados. Permanece nulo para as linhas 'Unknown' e para entidades extintas antes da codificação (áreas censitárias do Alasca, cidades independentes da Virgínia que voltaram a ser municípios).","SSA only began publishing the ANSI code in the 2008 (OASDI) or 2009 (SSI) edition; for earlier years the code was reconstructed from SSA's own file, matching state and county name against the years that are already coded. It stays null for the 'Unknown' rows and for entities abolished before coding began (Alaska census areas, Virginia independent cities that reverted to towns).","La SSA solo comenzó a publicar el código ANSI en la edición de 2008 (OASDI) o 2009 (SSI); para los años anteriores el código se reconstruyó a partir del propio archivo de la SSA, cruzando estado y nombre del condado con los años ya codificados. Permanece nulo para las filas 'Unknown' y para entidades abolidas antes de la codificación (áreas censales de Alaska, ciudades independientes de Virginia que volvieron a ser municipios).",ansi,Five-digit county or independent city ANSI (FIPS) code,Código ANSI (FIPS) de cinco dígitos del condado o ciudad independiente
state_name,STRING,Nome do estado ou área,,no,,,no,,,,state_or_area,Name of the state or area,Nombre del estado o área
county_name,STRING,"Nome do condado ou cidade independente, conforme publicado pela SSA",,no,,,no,Até a edição de 2007 as cidades independentes recebiam o sufixo ' City' e eram listadas em ordem alfabética junto aos condados; a partir de 2008 o sufixo é omitido e elas aparecem em bloco separado.,Up to the 2007 edition independent cities carried the ' City' suffix and were listed alphabetically among the counties; from 2008 the suffix is dropped and they appear in a separate block.,Hasta la edición de 2007 las ciudades independientes llevaban el sufijo ' City' y se listaban alfabéticamente junto a los condados; a partir de 2008 el sufijo se omite y aparecen en un bloque separado.,county_or_city,"Name of the county or independent city, as published by SSA","Nombre del condado o ciudad independiente, según lo publicado por la SSA"
eligibility_category,STRING,Categoria de elegibilidade ao SSI,,yes,,,no,'aged' e 'blind_or_disabled' somam o valor de 'total'.,'aged' and 'blind_or_disabled' sum to the value of 'total'.,'aged' y 'blind_or_disabled' suman el valor de 'total'.,measure,SSI eligibility category,Categoría de elegibilidad al SSI
age_group,STRING,Faixa etária do beneficiário,,yes,,,no,"É um recorte alternativo do total, não um subconjunto do tipo de benefício ou da categoria de elegibilidade.","It is an alternative cut of the total, not a subset of the benefit type or the eligibility category.","Es un recorte alternativo del total, no un subconjunto del tipo de beneficio o de la categoría de elegibilidad.",measure,Age group of the beneficiary,Grupo de edad del beneficiario
oasdi_concurrent,STRING,Indica se o recorte é o dos recebedores de SSI que também recebem OASDI,,yes,,,no,,,,persons_concurrent,Whether the slice is of SSI recipients who also receive OASDI,Indica si el recorte es el de los beneficiarios de SSI que también reciben OASDI
recipient_count,INT64,Número de recebedores do SSI,,no,,person,no,Nulo quando suprimido ou indisponível; veja recipient_count_note para o motivo. Nunca preenchido com zero.,Null when suppressed or unavailable; see recipient_count_note for the reason. Never filled with zero.,Nulo cuando está suprimido o no disponible; vea recipient_count_note para el motivo. Nunca se completa con cero.,persons_*,Number of SSI recipients,Número de beneficiarios del SSI
recipient_count_note,STRING,Motivo pelo qual recipient_count está nulo,,yes,,,no,Nulo quando o valor está presente.,Null when the value is present.,Nulo cuando el valor está presente.,,Reason why recipient_count is null,Motivo por el cual recipient_count es nulo
payment_amount_month,INT64,"Valor total dos pagamentos do SSI no mês de dezembro, em dólares",,no,,usd,no,"A fonte publica o valor em milhares de dólares, apesar de o metadado JSON registrar a unidade como 'dollars'; aqui ele é convertido para dólares. A SSA já arredondou para o milhar mais próximo, de modo que todo valor termina em três zeros. No nível de condado o valor só existe na linha de total.","The source publishes the value in thousands of dollars, although the JSON metadata records the unit as 'dollars'; it is converted to dollars here. SSA has already rounded to the nearest thousand, so every value ends in three zeros. At county level the value exists only on the total row.","La fuente publica el valor en miles de dólares, aunque el metadato JSON registra la unidad como 'dollars'; aquí se convierte a dólares. La SSA ya redondeó al millar más cercano, de modo que todo valor termina en tres ceros. A nivel de condado el valor solo existe en la fila de total.",payments_month_*,"Total SSI payments in the month of December, in dollars","Monto total de los pagos del SSI en el mes de diciembre, en dólares"
payment_amount_month_note,STRING,Motivo pelo qual payment_amount_month está nulo,,yes,,,no,Nulo quando o valor está presente.,Null when the value is present.,Nulo cuando el valor está presente.,,Reason why payment_amount_month is null,Motivo por el cual payment_amount_month es nulo
