name,bigquery_type,description,temporal_coverage,covered_by_dictionary,directory_column,measurement_unit,has_sensitive_data,observations,observations_en,observations_es,original_name,description_en,description_es
year,INT64,"Ano de referência, correspondente à edição anual de dezembro",,no,br_bd_diretorios_data_tempo.ano:ano,year,no,As estatísticas são um retrato do mês de dezembro do ano de referência.,The statistics are a snapshot of December of the reference year.,Las estadísticas son una instantánea de diciembre del año de referencia.,month,"Reference year, corresponding to the annual December edition","Año de referencia, correspondiente a la edición anual de diciembre"
state_id,STRING,Código ANSI (FIPS) de dois dígitos do estado,,no,br_bd_diretorios_us.state:id_state,,no,"Nulo nas linhas que não correspondem a um estado: 'All areas' (total nacional), 'Other', 'Foreign countries' e 'Unknown'.","Null on rows that do not correspond to a state: 'All areas' (the national total), 'Other', 'Foreign countries' and 'Unknown'.","Nulo en las filas que no corresponden a un estado: 'All areas' (el total nacional), 'Other', 'Foreign countries' y 'Unknown'.",ansi,Two-digit state ANSI (FIPS) code,Código ANSI (FIPS) de dos dígitos del estado
state_or_area,STRING,"Estado, território ou categoria agregada",,no,,,no,"Inclui o total nacional ('All areas'), os territórios e as categorias residuais 'Other', 'Foreign countries' e 'Unknown'. Filtre por state_id não nulo para obter apenas estados e territórios.","Includes the national total ('All areas'), the territories and the residual categories 'Other', 'Foreign countries' and 'Unknown'. Filter on a non-null state_id for states and territories only.","Incluye el total nacional ('All areas'), los territorios y las categorías residuales 'Other', 'Foreign countries' y 'Unknown'. Filtre por state_id no nulo para obtener solo estados y territorios.",state_or_area,"State, territory or aggregate category","Estado, territorio o categoría agregada"
eligibility_category,STRING,Categoria de elegibilidade ao SSI,,yes,,,no,'aged' e 'blind_or_disabled' somam o valor de 'total'.,'aged' and 'blind_or_disabled' sum to the value of 'total'.,'aged' y 'blind_or_disabled' suman el valor de 'total'.,measure,SSI eligibility category,Categoría de elegibilidad al SSI
age_group,STRING,Faixa etária do beneficiário,,yes,,,no,"É um recorte alternativo do total, não um subconjunto do tipo de benefício ou da categoria de elegibilidade.","It is an alternative cut of the total, not a subset of the benefit type or the eligibility category.","Es un recorte alternativo del total, no un subconjunto del tipo de beneficio o de la categoría de elegibilidad.",measure,Age group of the beneficiary,Grupo de edad del beneficiario
oasdi_concurrent,STRING,Indica se o recorte é o dos recebedores de SSI que também recebem OASDI,,yes,,,no,,,,persons_concurrent,Whether the slice is of SSI recipients who also receive OASDI,Indica si el recorte es el de los beneficiarios de SSI que también reciben OASDI
recipient_count,INT64,Número de recebedores do SSI,,no,,person,no,Nulo quando suprimido ou indisponível; veja recipient_count_note para o motivo. Nunca preenchido com zero.,Null when suppressed or unavailable; see recipient_count_note for the reason. Never filled with zero.,Nulo cuando está suprimido o no disponible; vea recipient_count_note para el motivo. Nunca se completa con cero.,persons_*,Number of SSI recipients,Número de beneficiarios del SSI
recipient_count_note,STRING,Motivo pelo qual recipient_count está nulo,,yes,,,no,Nulo quando o valor está presente.,Null when the value is present.,Nulo cuando el valor está presente.,,Reason why recipient_count is null,Motivo por el cual recipient_count es nulo
payment_amount_month,INT64,"Valor total dos pagamentos do SSI no mês de dezembro, em dólares",,no,,usd,no,"A fonte publica o valor em milhares de dólares, apesar de o metadado JSON registrar a unidade como 'dollars'; aqui ele é convertido para dólares. A SSA já arredondou para o milhar mais próximo, de modo que todo valor termina em três zeros. No nível de condado o valor só existe na linha de total.","The source publishes the value in thousands of dollars, although the JSON metadata records the unit as 'dollars'; it is converted to dollars here. SSA has already rounded to the nearest thousand, so every value ends in three zeros. At county level the value exists only on the total row.","La fuente publica el valor en miles de dólares, aunque el metadato JSON registra la unidad como 'dollars'; aquí se convierte a dólares. La SSA ya redondeó al millar más cercano, de modo que todo valor termina en tres ceros. A nivel de condado el valor solo existe en la fila de total.",payments_month_*,"Total SSI payments in the month of December, in dollars","Monto total de los pagos del SSI en el mes de diciembre, en dólares"
payment_amount_month_note,STRING,Motivo pelo qual payment_amount_month está nulo,,yes,,,no,Nulo quando o valor está presente.,Null when the value is present.,Nulo cuando el valor está presente.,,Reason why payment_amount_month is null,Motivo por el cual payment_amount_month es nulo
