tipo,nombre_normalizado,id,nombre_directorio
region,tarapaca,01,Tarapacá
region,antofagasta,02,Antofagasta
region,atacama,03,Atacama
region,coquimbo,04,Coquimbo
region,valparaiso,05,Valparaíso
region,libertador general bernardo o'higgins,06,Libertador General Bernardo O'Higgins
region,maule,07,Maule
region,biobio,08,Biobío
region,la araucania,09,La Araucanía
region,los lagos,10,Los Lagos
region,aysen del general carlos ibanez del campo,11,Aysén del General Carlos Ibáñez del Campo
region,magallanes y de la antartica chilena,12,Magallanes y de la Antártica Chilena
region,metropolitana de santiago,13,Metropolitana de Santiago
region,los rios,14,Los Ríos
region,arica y parinacota,15,Arica y Parinacota
region,nuble,16,Ñuble
region,aysen del general carlos iba,11,Aysén del General Carlos Ibáñez del Campo
region,libertador general berna,06,Libertador General Bernardo O'Higgins
region,magallanes y de la antart,12,Magallanes y de la Antártica Chilena
region,magallanes y de la antartica,12,Magallanes y de la Antártica Chilena
comuna,iquique,01101,Iquique
comuna,alto hospicio,01107,Alto Hospicio
comuna,pozo almonte,01401,Pozo Almonte
comuna,camina,01402,Camiña
comuna,colchane,01403,Colchane
comuna,huara,01404,Huara
comuna,pica,01405,Pica
comuna,antofagasta,02101,Antofagasta
comuna,mejillones,02102,Mejillones
comuna,sierra gorda,02103,Sierra Gorda
comuna,taltal,02104,Taltal
comuna,calama,02201,Calama
comuna,ollague,02202,Ollagüe
comuna,san pedro de atacama,02203,San Pedro de Atacama
comuna,tocopilla,02301,Tocopilla
comuna,maria elena,02302,María Elena
comuna,copiapo,03101,Copiapó
comuna,caldera,03102,Caldera
comuna,tierra amarilla,03103,Tierra Amarilla
comuna,chanaral,03201,Chañaral
comuna,diego de almagro,03202,Diego de Almagro
comuna,vallenar,03301,Vallenar
comuna,alto del carmen,03302,Alto del Carmen
comuna,freirina,03303,Freirina
comuna,huasco,03304,Huasco
comuna,la serena,04101,La Serena
comuna,coquimbo,04102,Coquimbo
comuna,andacollo,04103,Andacollo
comuna,la higuera,04104,La Higuera
comuna,paihuano,04105,Paihuano
comuna,vicuna,04106,Vicuña
comuna,illapel,04201,Illapel
comuna,canela,04202,Canela
comuna,los vilos,04203,Los Vilos
comuna,salamanca,04204,Salamanca
comuna,ovalle,04301,Ovalle
comuna,combarbala,04302,Combarbalá
comuna,monte patria,04303,Monte Patria
comuna,punitaqui,04304,Punitaqui
comuna,rio hurtado,04305,Río Hurtado
comuna,valparaiso,05101,Valparaíso
comuna,casablanca,05102,Casablanca
comuna,concon,05103,Concón
comuna,juan fernandez,05104,Juan Fernández
comuna,puchuncavi,05105,Puchuncaví
comuna,quintero,05107,Quintero
comuna,vina del mar,05109,Viña del Mar
comuna,isla de pascua,05201,Isla de Pascua
comuna,los andes,05301,Los Andes
comuna,calle larga,05302,Calle Larga
