id_tabela,nome_coluna,chave,cobertura_temporal,valor
institution,main_campus,0,,Not main campus
institution,main_campus,1,,Main campus
institution,predominant_degree,0,,Not classified
institution,predominant_degree,1,,Predominantly certificate-degree granting
institution,predominant_degree,2,,Predominantly associate's-degree granting
institution,predominant_degree,3,,Predominantly bachelor's-degree granting
institution,predominant_degree,4,,Entirely graduate-degree granting
institution,highest_degree,0,,Non-degree-granting
institution,highest_degree,1,,Certificate degree
institution,highest_degree,2,,Associate degree
institution,highest_degree,3,,Bachelor's degree
institution,highest_degree,4,,Graduate degree
institution,control,1,,Public
institution,control,2,,Private nonprofit
institution,control,3,,Private for-profit
institution,region,0,,U.S. Service Schools
institution,region,1,,"New England (CT, ME, MA, NH, RI, VT)"
institution,region,2,,"Mid East (DE, DC, MD, NJ, NY, PA)"
institution,region,3,,"Great Lakes (IL, IN, MI, OH, WI)"
institution,region,4,,"Plains (IA, KS, MN, MO, NE, ND, SD)"
institution,region,5,,"Southeast (AL, AR, FL, GA, KY, LA, MS, NC, SC, TN, VA, WV)"
institution,region,6,,"Southwest (AZ, NM, OK, TX)"
institution,region,7,,"Rocky Mountains (CO, ID, MT, UT, WY)"
institution,region,8,,"Far West (AK, CA, HI, NV, OR, WA)"
institution,region,9,,"Outlying Areas (AS, FM, GU, MH, MP, PR, PW, VI)"
institution,locale,11,,"City: Large (population of 250,000 or more)"
institution,locale,12,,"City: Midsize (population of at least 100,000 but less than 250,000)"
institution,locale,13,,"City: Small (population less than 100,000)"
institution,locale,21,,"Suburb: Large (outside principal city, in urbanized area with population of 250,000 or more)"
institution,locale,22,,"Suburb: Midsize (outside principal city, in urbanized area with population of at least 100,000 but less than 250,000)"
institution,locale,23,,"Suburb: Small (outside principal city, in urbanized area with population less than 100,000)"
institution,locale,31,,Town: Fringe (in urban cluster up to 10 miles from an urbanized area)
institution,locale,32,,Town: Distant (in urban cluster more than 10 miles and up to 35 miles from an urbanized area)
institution,locale,33,,Town: Remote (in urban cluster more than 35 miles from an urbanized area)
institution,locale,41,,Rural: Fringe (rural territory up to 5 miles from an urbanized area or up to 2.5 miles from an urban cluster)
institution,locale,42,,Rural: Distant (rural territory more than 5 miles but up to 25 miles from an urbanized area or more than 2.5 and up to 10 miles from an urban cluster)
institution,locale,43,,Rural: Remote (rural territory more than 25 miles from an urbanized area and more than 10 miles from an urban cluster)
institution,locale_degree_urbanization,1,,"Large City (a central city of a CMSA or MSA, with the city having a population greater than or equal to 250,000)"
institution,locale_degree_urbanization,2,,"Mid-Size City (a central city of a CMSA or MSA, with the city having a population less than 250,000)"
institution,locale_degree_urbanization,3,,Urban Fringe of a Large City (any territory within a CMSA or MSA of a Large City and defined as urban by the Census Bureau)
institution,locale_degree_urbanization,4,,Urban Fringe of a Mid-Size City (any territory within a CMSA or MSA of a Mid-Size City and defined as urban by the Census Bureau)
institution,locale_degree_urbanization,5,,"Large Town (an incorporated place or Census-designated place with a population greater than or equal to 25,000 and located outside a CMSA or MSA)"
institution,locale_degree_urbanization,6,,"Small Town (an incorporated place or Census-designated place with a population less than 25,000 and greater than or equal to 2,500 and located outside a CMSA or MSA)"
institution,locale_degree_urbanization,7,,"Rural, Outside MSA (any territory designated as rural by the Census Bureau that is outside a CMSA or MSA of a Large or Mid-Size City)"
institution,locale_degree_urbanization,8,,"Rural, Inside MSA (any territory designated as rural by the Census Bureau that is within a CMSA or MSA of a Large or Mid-Size City)"
institution,carnegie_basic,-2,,Not applicable
institution,carnegie_basic,0,,(Not classified)
