name,bigquery_type,description,temporal_coverage,covered_by_dictionary,directory_column,measurement_unit,has_sensitive_data,observations,original_name,description_pt,description_en,description_es
year,INT64,Calendar year of the quarterly report,,no,br_bd_diretorios_data_tempo.ano:ano,year,no,"Partition column, derived from the report date",REPDTE,Ano civil do relatório trimestral,Calendar year of the quarterly report,Año calendario del informe trimestral
quarter,INT64,"Calendar quarter of the report, 1 to 4",,no,,quarter,no,Derived from the report date,REPDTE,"Trimestre civil do relatório, de 1 a 4","Calendar quarter of the report, 1 to 4","Trimestre calendario del informe, de 1 a 4"
report_date,DATE,Last day of the quarter the report covers,,no,,,no,"Call Reports are filed as of 31 March, 30 June, 30 September and 31 December",REPDTE,Último dia do trimestre a que o relatório se refere,Last day of the quarter the report covers,Último día del trimestre al que se refiere el informe
cert,STRING,FDIC certificate number identifying the institution,,no,,,no,"Stable across name changes; the primary institution key. Joins to institution.cert, enforced as a dbt relationships test",CERT,Número do certificado do FDIC que identifica a instituição,FDIC certificate number identifying the institution,Número de certificado de la FDIC que identifica a la institución
rssd_id,STRING,Federal Reserve RSSD identifier of the institution,,no,,,no,"Second identifier carried by the FDIC, used to join to Federal Reserve and FFIEC sources",RSSDID,Identificador RSSD da instituição no Federal Reserve,Federal Reserve RSSD identifier of the institution,Identificador RSSD de la institución en la Reserva Federal
net_income_quarterly_netincq,FLOAT64,"Quarterly net interest income plus total noninterest income plus realized gains (losses) on securities and extraordinary items, less total noninterest expense, loan loss provisions and income taxes.",,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",NETINCQ,"Receita líquida de juros do trimestre mais receitas não decorrentes de juros mais ganhos (perdas) realizados com títulos e itens extraordinários, menos despesas não decorrentes de juros, provisões para perdas com empréstimos e impostos sobre a renda","Quarterly net interest income plus total noninterest income plus realized gains (losses) on securities and extraordinary items, less total noninterest expense, loan loss provisions and income taxes.","Ingreso neto por intereses del trimestre más ingresos no derivados de intereses más ganancias (pérdidas) realizadas en valores y partidas extraordinarias, menos gastos no derivados de intereses, provisiones para pérdidas por préstamos e impuestos sobre la renta"
equity_capital,FLOAT64,"Total equity capital (includes preferred and common stock, surplus and undivided profits).",,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",EQ,"Patrimônio líquido total (inclui ações preferenciais e ordinárias, reservas de capital e lucros acumulados)","Total equity capital (includes preferred and common stock, surplus and undivided profits).","Patrimonio neto total (incluye acciones preferentes y ordinarias, reservas de capital y utilidades acumuladas)"
tier_1_risk_based_capital_ratio,FLOAT64,Tier 1 Risk-Based Capital Ratio,,no,,percent,no,,IDT1RWAJR,Índice de capital de nível 1 ponderado pelo risco,Tier 1 Risk-Based Capital Ratio,Índice de capital de nivel 1 ponderado por riesgo
net_discontinued_operations,FLOAT64,Net Discontinued Operations,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",EXTRA,Resultado líquido de operações descontinuadas,Net Discontinued Operations,Resultado neto de operaciones descontinuadas
total_fiduciary_and_related_assets,FLOAT64,Total Fiduciary and Related Assets,,no,,USD,no,"Reported by the FDIC in thousands of dollars and multiplied by 1,000 here, so the value is in whole dollars",TFRA,Total de ativos fiduciários e relacionados,Total Fiduciary and Related Assets,Total de activos fiduciarios y relacionados
