name,bigquery_type,description_pt,description_en,description_es,temporal_coverage,covered_by_dictionary,directory_column,measurement_unit,has_sensitive_data,observations,original_name
year,INT64,Ano do trimestre de referência,Year of the reporting quarter,Año del trimestre de referencia,,no,br_bd_diretorios_data_tempo.ano:ano,year,no,,
quarter,INT64,"Trimestre civil do relatório, de 1 a 4","Calendar quarter of the report, 1 to 4","Trimestre calendario del informe, de 1 a 4",,no,,quarter,no,,
report_date,DATE,Último dia civil do trimestre de referência,Last calendar day of the reporting quarter,Último día calendario del trimestre de referencia,,no,,,no,,RSSD9999
rssd_id,STRING,"Identificador RSSD atribuído pelo Federal Reserve, único por instituição e estável diante de mudanças de nome e de carta patente; é a chave de junção entre todas as tabelas deste conjunto e o correspondente de `cert` em us_fdic_bankfind","RSSD identifier assigned by the Federal Reserve, unique per institution and stable across name and charter changes; the join key across every table in this dataset and the correspondent of `cert` in us_fdic_bankfind","Identificador RSSD asignado por la Reserva Federal, único por institución y estable ante cambios de nombre y de licencia; es la clave de unión entre todas las tablas de este conjunto y el correspondiente de `cert` en us_fdic_bankfind",,no,,,no,,RSSD9001
name,STRING,Razão social da holding,Legal name of the holding company,Razón social de la sociedad controladora,,no,,,no,,RSSD9017
short_name,STRING,Nome abreviado da holding,Abbreviated name of the holding company,Nombre abreviado de la sociedad controladora,,no,,,no,,RSSD9010
address,STRING,Logradouro do endereço físico da holding,Street address of the holding company's physical location,Domicilio físico de la sociedad controladora,,no,,,no,,RSSD9028
city,STRING,Cidade do endereço físico da holding,City of the holding company's physical location,Ciudad del domicilio físico de la sociedad controladora,,no,,,no,,RSSD9130
state_abbreviation,STRING,Sigla postal de duas letras do estado do endereço físico,Two-letter postal abbreviation of the state of the physical location,Sigla postal de dos letras del estado del domicilio físico,,no,,,no,Not linked to the state directory: its primary key is the FIPS code.,RSSD9200
zip_code,STRING,Código postal do endereço físico da holding,ZIP code of the holding company's physical location,Código postal del domicilio físico de la sociedad controladora,,no,,,no,,RSSD9220
county_id,STRING,Código FIPS de cinco dígitos do condado do endereço físico,Five-digit FIPS code of the county of the physical location,Código FIPS de cinco dígitos del condado del domicilio físico,,no,br_bd_diretorios_us.county:id_county,,no,"Built from the state FIPS code (RSSD9210) and the county code (RSSD9150), both of which the filer reports separately.",RSSD9210 + RSSD9150
tax_id,STRING,Número de identificação fiscal do empregador da entidade,Employer identification number of the entity,Número de identificación fiscal del empleador de la entidad,,no,,,no,,RSSD6191
charter_type_id,STRING,Código do tipo de carta patente atribuído pelo Federal Reserve,Charter type code assigned by the Federal Reserve,Código del tipo de licencia asignado por la Reserva Federal,,no,,,no,"The code list is published by the National Information Center rather than with the data, so the values are carried as filed and are not decoded here.",RSSD9048
organization_type_id,STRING,Código do tipo de organização atribuído pelo Federal Reserve,Organization type code assigned by the Federal Reserve,Código del tipo de organización asignado por la Reserva Federal,,no,,,no,"The code list is published by the National Information Center rather than with the data, so the values are carried as filed and are not decoded here.",RSSD9047
primary_activity_id,STRING,"Código NAICS da atividade principal da entidade, 551111 para holdings bancárias","NAICS code of the entity's primary activity, 551111 for a bank holding company","Código NAICS de la actividad principal de la entidad, 551111 para sociedades controladoras de bancos",,no,,,no,"Not linked to the NAICS directory: the series spans four decades and several NAICS vintages, which the source does not restate.",RSSD9132
federal_reserve_district_id,STRING,"Distrito do Federal Reserve que supervisiona a entidade, de 1 a 12","Federal Reserve district that supervises the entity, 1 to 12","Distrito de la Reserva Federal que supervisa la entidad, de 1 a 12",,yes,,,no,,RSSD9032
bank_count,INT64,Quantidade de bancos controlados pela holding,Number of banks the holding company controls,Cantidad de bancos controlados por la sociedad controladora,,no,,unit,no,,RSSD9146
is_financial_holding_company,STRING,"Indica se a entidade optou pelo regime de holding financeira, 1 para sim","Whether the entity has elected financial holding company status, 1 for yes","Indica si la entidad optó por el régimen de sociedad controladora financiera, 1 para sí",,no,,,no,,RSSD9016
is_savings_loan_holding_company,STRING,"Indica se a entidade é uma holding de poupança e empréstimo, 1 para sim","Whether the entity is a savings and loan holding company, 1 for yes","Indica si la entidad es una sociedad controladora de ahorro y préstamo, 1 para sí",,no,,,no,,RSSD9198
