name,bigquery_type,description_pt,description_en,description_es,temporal_coverage,covered_by_dictionary,directory_column,measurement_unit,has_sensitive_data,observations,original_name
year,INT64,Ano a que se refere a atividade de crédito declarada,Year the lending activity was reported for,Año al que se refiere la actividad crediticia declarada,,no,br_bd_diretorios_data_tempo.ano:ano,year,no,,Activity Year
respondent_id,STRING,"Identificador do declarante atribuído pela agência supervisora da instituição; é único apenas em conjunto com a agência e o ano, e não é um RSSD","Respondent identifier assigned by the institution's supervisory agency; unique only together with agency and year, and not an RSSD","Identificador del declarante asignado por la agencia supervisora de la institución; es único solo junto con la agencia y el año, y no es un RSSD",,no,,,no,,Respondent ID
agency_id,STRING,"Agência supervisora que atribuiu o identificador do declarante: occ, frs, fdic, ou ots para o Office of Thrift Supervision, extinto em 2011 e presente apenas até 2010","Supervisory agency that assigned the respondent identifier: occ, frs, fdic, or ots for the Office of Thrift Supervision, which was abolished in 2011 and appears only up to 2010","Agencia supervisora que asignó el identificador del declarante: occ, frs, fdic, u ots para la Office of Thrift Supervision, suprimida en 2011 y presente solo hasta 2010",,no,,,no,,Agency Code
rssd_id,STRING,"Identificador RSSD da instituição declarante, obtido da folha de transmissão do CRA para o mesmo declarante, agência e ano; é a chave de junção com institution, call_report_item e holding_company","RSSD identifier of the reporting institution, taken from the CRA transmittal sheet for the same respondent, agency and year; the join key to institution, call_report_item and holding_company","Identificador RSSD de la institución declarante, obtenido de la hoja de transmisión del CRA para el mismo declarante, agencia y año; es la clave de unión con institution, call_report_item y holding_company",,no,,,no,,
loan_type,STRING,Indica se a linha se refere a crédito para pequenas empresas ou para pequenos produtores rurais,Whether the row covers small business or small farm lending,Indica si la fila se refiere a crédito para pequeñas empresas o para pequeños productores agrícolas,,no,,,no,,Loan Type
action_taken,STRING,Indica se os empréstimos foram originados pela instituição declarante ou adquiridos de outro credor,Whether the loans were originated by the reporting institution or purchased from another lender,Indica si los préstamos fueron originados por la institución declarante o adquiridos de otro prestamista,,no,,,no,,Action Taken Type
state_id,STRING,Código FIPS do estado com dois dígitos,Two-digit state FIPS code,Código FIPS del estado de dos dígitos,,no,br_bd_diretorios_us.state:id_state,,no,Blank on rows that total across all states.,State
county_id,STRING,"Código FIPS do condado com cinco dígitos, formado pelo código do estado seguido do código do condado","Five-digit county FIPS code, the state code followed by the county code","Código FIPS del condado de cinco dígitos, formado por el código del estado seguido del código del condado",,no,br_bd_diretorios_us.county:id_county,,no,"Blank on rows that total across counties. County FIPS codes change over time and are not restated by the source, so early years carry the codes in force at the time.",State + County
msa_md_id,STRING,Código da área estatística metropolitana ou da divisão metropolitana conforme definido pelo OMB,Metropolitan statistical area or metropolitan division code as defined by OMB,Código del área estadística metropolitana o de la división metropolitana según la definición de la OMB,,no,,,no,"NA outside a metropolitan area, blank on rows that total across areas.",MSA/MD
assessment_area_id,STRING,Número da área de avaliação atribuído pela instituição à região,Assessment area number the institution assigned to the area,Número del área de evaluación asignado por la institución a la región,,no,,,no,"NA outside any assessment area, blank on totals.",Assessment Area Number
is_partial_county,STRING,"Indica se a área de avaliação cobre apenas parte do condado, 1 para sim","Whether the assessment area covers only part of the county, 1 for yes","Indica si el área de evaluación cubre solo parte del condado, 1 para sí",,no,,,no,,Partial County Indicator
is_split_county,STRING,"Indica se o condado está dividido entre mais de uma área de avaliação, 1 para sim","Whether the county is split across more than one assessment area, 1 for yes","Indica si el condado está dividido entre más de un área de evaluación, 1 para sí",,no,,,no,,Split County Indicator
population_classification,STRING,Indica se o condado tem menos ou mais de 500.000 habitantes,"Whether the county has fewer or more than 500,000 residents",Indica si el condado tiene menos o más de 500.000 habitantes,,no,,,no,,Population Classification
tract_income_group,STRING,"Faixa de renda dos setores censitários em que o crédito é agrupado, como proporção da renda familiar mediana da região","Income group of the census tracts the lending is grouped into, as a share of area median family income","Grupo de ingreso de los sectores censales en que se agrupa el crédito, como proporción del ingreso familiar mediano de la región",,yes,,,no,,Income Group Total
report_level,STRING,"Nível geográfico e de área de avaliação sobre o qual a linha é totalizada, de um único condado até o total nacional","Geographic and assessment-area level the row totals over, from a single county up to a nationwide total","Nivel geográfico y de área de evaluación sobre el que se totaliza la fila, desde un único condado hasta el total nacional",,yes,,,no,,Report Level
measure_band,STRING,Faixa de valor do empréstimo ou de receita do tomador a que se referem a quantidade e o montante,Loan size or borrower revenue band the count and amount refer to,Rango de monto del préstamo o de ingresos del prestatario al que se refieren la cantidad y el monto,,yes,,,no,,
loan_count,INT64,Quantidade de empréstimos na faixa,Number of loans in the band,Cantidad de préstamos en el rango,,no,,unit,no,,
loan_amount,FLOAT64,Montante total dos empréstimos na faixa,Total amount of the loans in the band,Monto total de los préstamos en el rango,,no,,USD,no,"Filed in thousands of dollars and multiplied by 1,000 here.",
