name,bigquery_type,description_pt,description_en,description_es,temporal_coverage,covered_by_dictionary,directory_column,measurement_unit,has_sensitive_data,observations,original_name
item_code,STRING,"Identificador MDRM de oito caracteres, formado pela concatenação do mnemônico com o número do item","Eight-character MDRM identifier, the concatenation of mnemonic and item number","Identificador MDRM de ocho caracteres, formado por la concatenación del mnemónico con el número de la partida",,no,,,no,,
mnemonic,STRING,"Quatro primeiros caracteres do identificador, que nomeiam a série do relatório e a base de consolidação, como RCON para agências domésticas ou RCFD para agências domésticas e estrangeiras consolidadas","First four characters of the identifier, naming the report series and the consolidation basis, such as RCON for domestic offices or RCFD for consolidated domestic and foreign offices","Primeros cuatro caracteres del identificador, que nombran la serie del informe y la base de consolidación, como RCON para oficinas nacionales o RCFD para oficinas nacionales y extranjeras consolidadas",,no,,,no,,
item_number,STRING,"Quatro últimos caracteres do identificador, que nomeiam o próprio item; o mesmo número tem o mesmo significado em todos os formulários","Last four characters of the identifier, naming the item itself; the same number carries the same meaning across reporting forms","Últimos cuatro caracteres del identificador, que nombran la partida en sí; el mismo número tiene el mismo significado en todos los formularios",,no,,,no,,
name,STRING,Nome do item conforme publicado no dicionário de dados MDRM,Item name as published in the MDRM data dictionary,Nombre de la partida según se publica en el diccionario de datos MDRM,,no,,,no,,
description,STRING,Definição completa do item conforme publicada no MDRM,Full item definition as published in the MDRM,Definición completa de la partida según se publica en el MDRM,,no,,,no,,
item_type,STRING,"Tipo do item no MDRM: F financeiro, D derivado, R taxa, P percentual, S estrutura, E supervisão, J projetado","MDRM item type: F financial, D derived, R rate, P percentage, S structure, E examination, J projected","Tipo de partida en el MDRM: F financiera, D derivada, R tasa, P porcentaje, S estructura, E supervisión, J proyectada",,yes,,,no,,
measurement_unit,STRING,Unidade dos valores deste item em call_report_item e holding_company_item,Unit of the values carried for this item in call_report_item and holding_company_item,Unidad de los valores de esta partida en call_report_item y holding_company_item,,no,,,no,"Derived here, not published by the MDRM, which does not separate dollar amounts from counts. USD, percent, ratio, unit, or blank when the item is a yes/no answer, an indicator or a date rather than a quantity.",
is_flag,STRING,"Indica se o item é uma resposta de sim ou não ou um código indicador em vez de uma grandeza, 1 para sim","Whether the item is a yes/no answer or an indicator code rather than a magnitude, 1 for yes","Indica si la partida es una respuesta de sí o no o un código indicador en lugar de una magnitud, 1 para sí",,no,,,no,,
is_confidential,STRING,"Indica se o MDRM classifica o item como confidencial e portanto não divulgado publicamente, 1 para sim","Whether the MDRM marks the item as confidential and therefore not publicly disclosed, 1 for yes","Indica si el MDRM clasifica la partida como confidencial y por lo tanto no divulgada públicamente, 1 para sí",,no,,,no,,
reporting_form,STRING,"Formulários que coletam o item, separados por ponto e vírgula","Reporting forms that collect the item, separated by semicolons","Formularios que recolectan la partida, separados por punto y coma",,no,,,no,,
start_date,DATE,Primeira data em que o item passou a ser coletado,First date on which the item was collected,Primera fecha en que se comenzó a recolectar la partida,,no,,,no,,
end_date,DATE,Última data em que o item foi coletado,Last date on which the item was collected,Última fecha en que se recolectó la partida,,no,,,no,9999-12-31 marks an item that is still collected.,
series_glossary,STRING,Verbete do glossário MDRM correspondente ao mnemônico,MDRM glossary entry for the mnemonic,Entrada del glosario MDRM correspondiente al mnemónico,,no,,,no,,
