area_id,area_type,area_name
1,2,Alabama
10,2,Delaware
1000001,6,"Sussex County, Delaware nonmetropolitan area"
100001,6,Northwest Alabama nonmetropolitan area
100002,6,Northeast Alabama nonmetropolitan area
100003,6,Southwest Alabama nonmetropolitan area
100004,6,Southeast Alabama nonmetropolitan area
10180,4,"Abilene, TX"
10380,4,"Aguadilla-Isabela-San Sebastian, PR"
10420,4,"Akron, OH"
10500,4,"Albany, GA"
10580,4,"Albany-Schenectady-Troy, NY"
10740,4,"Albuquerque, NM"
10780,4,"Alexandria, LA"
10900,4,"Allentown-Bethlehem-Easton, PA-NJ"
11,2,District of Columbia
11020,4,"Altoona, PA"
11100,4,"Amarillo, TX"
11180,4,"Ames, IA"
11260,4,"Anchorage, AK"
11300,4,"Anderson, IN"
11340,4,"Anderson, SC"
11460,4,"Ann Arbor, MI"
11500,4,"Anniston-Oxford, AL"
11540,4,"Appleton, WI"
11700,4,"Asheville, NC"
12,2,Florida
1200001,6,Northwest Florida nonmetropolitan area
1200002,6,Northeast Florida nonmetropolitan area
1200003,6,South Florida nonmetropolitan area
12020,4,"Athens-Clarke County, GA"
12060,4,"Atlanta-Sandy Springs-Marietta, GA"
12100,4,"Atlantic City-Hammonton, NJ"
12220,4,"Auburn-Opelika, AL"
12260,4,"Augusta-Richmond County, GA-SC"
12420,4,"Austin-Round Rock-San Marcos, TX"
12540,4,"Bakersfield-Delano, CA"
12580,4,"Baltimore-Towson, MD"
12940,4,"Baton Rouge, LA"
12980,4,"Battle Creek, MI"
13,2,Georgia
1300001,6,North Georgia nonmetropolitan area
1300002,6,Middle Georgia nonmetropolitan area
1300003,6,East Georgia nonmetropolitan area
1300004,6,South Georgia nonmetropolitan area
13020,4,"Bay City, MI"
13140,4,"Beaumont-Port Arthur, TX"
13380,4,"Bellingham, WA"
13460,4,"Bend, OR"
13644,5,"Bethesda-Rockville-Frederick, MD Metropolitan Division"
13740,4,"Billings, MT"
13780,4,"Binghamton, NY"
13820,4,"Birmingham-Hoover, AL"
13900,4,"Bismarck, ND"
13980,4,"Blacksburg-Christiansburg-Radford, VA"
14020,4,"Bloomington, IN"
14060,4,"Bloomington-Normal, IL"
14260,4,"Boise City-Nampa, ID"
14500,4,"Boulder, CO"
14540,4,"Bowling Green, KY"
14740,4,"Bremerton-Silverdale, WA"
15,2,Hawaii
1500001,6,Hawaii / Maui / Kauai nonmetropolitan area
15180,4,"Brownsville-Harlingen, TX"
15260,4,"Brunswick, GA"
15380,4,"Buffalo-Niagara Falls, NY"
15500,4,"Burlington, NC"
15804,5,"Camden, NJ Metropolitan Division"
15940,4,"Canton-Massillon, OH"
15980,4,"Cape Coral-Fort Myers, FL"
16,2,Idaho
1600001,6,North Idaho nonmetropolitan area
1600002,6,Southwest Idaho nonmetropolitan area
1600003,6,Southcentral Idaho nonmetropolitan area
1600004,6,East Idaho nonmetropolitan area
16020,4,"Cape Girardeau-Jackson, MO-IL"
16180,4,"Carson City, NV"
16220,4,"Casper, WY"
16300,4,"Cedar Rapids, IA"
16580,4,"Champaign-Urbana, IL"
16620,4,"Charleston, WV"
16700,4,"Charleston-North Charleston-Summerville, SC"
16740,4,"Charlotte-Gastonia-Rock Hill, NC-SC"
16820,4,"Charlottesville, VA"
16860,4,"Chattanooga, TN-GA"
16940,4,"Cheyenne, WY"
16974,5,"Chicago-Joliet-Naperville, IL Metropolitan Division"
16980,4,"Chicago-Joliet-Naperville, IL-IN-WI"
17,2,Illinois
1700001,6,Northwest Illinois nonmetropolitan area
1700002,6,West Central Illinois nonmetropolitan area
1700003,6,East Central Illinois nonmetropolitan area
1700004,6,South Illinois nonmetropolitan area
17020,4,"Chico, CA"
17140,4,"Cincinnati-Middletown, OH-KY-IN"
17300,4,"Clarksville, TN-KY"
17420,4,"Cleveland, TN"
17460,4,"Cleveland-Elyria-Mentor, OH"
17660,4,"Coeur d'Alene, ID"
17780,4,"College Station-Bryan, TX"
17820,4,"Colorado Springs, CO"
17860,4,"Columbia, MO"
17900,4,"Columbia, SC"
17980,4,"Columbus, GA-AL"
18,2,Indiana
1800001,6,Northern Indiana nonmetropolitan area
1800002,6,Central Indiana nonmetropolitan area
1800003,6,Southern Indiana nonmetropolitan area
18020,4,"Columbus, IN"
18140,4,"Columbus, OH"
18580,4,"Corpus Christi, TX"
18700,4,"Corvallis, OR"
18880,4,"Crestview-Fort Walton Beach-Destin, FL"
19,2,Iowa
1900001,6,Northeast Iowa nonmetropolitan area
1900002,6,Northwest Iowa nonmetropolitan area
1900003,6,Southwest Iowa nonmetropolitan area
1900004,6,Southeast Iowa nonmetropolitan area
19060,4,"Cumberland, MD-WV"
19100,4,"Dallas-Fort Worth-Arlington, TX"
19124,5,"Dallas-Plano-Irving, TX Metropolitan Division"
19140,4,"Dalton, GA"
19180,4,"Danville, IL"
