activity_code,funding_category,title
C06,Construction and Modernization,Research Facilities Construction Grant
D43,Research Training and Career Development,International Research Training Grants
D71,Research Training and Career Development,International Research Training Planning Grant
DP1,Research and Development,NIH Director's Pioneer Award (NDPA)
DP2,Research and Development,NIH Director's New Innovator Awards
DP3,Research and Development,Type 1 Diabetes Targeted Research Award
DP4,Research and Development,NIH Director's Pathfinder Award - Multi-Yr Funding
DP5,Research and Development,Early Independence Award
DP7,Research Training and Career Development,NIH Director's Workforce Innovation Award
E11,,Grants for Public Health Special Projects
F05,Research Training and Career Development,International Research Fellowships (FIC)
F30,Research Training and Career Development,Individual Predoctoral NRSA for M.D./Ph.D. Fellowships
F31,Research Training and Career Development,Predoctoral Individual National Research Service Award
F32,Research Training and Career Development,Postdoctoral Individual National Research Service Award
F33,Research Training and Career Development,National Research Service Awards for Senior Fellows
F37,Research Training and Career Development,Medical Informatics Fellowships
F38,Research Training and Career Development,Applied Medical Informatics Fellowships
F99,Research Training and Career Development,Predoctoral to Postdoctoral Fellow Transition Award
FI2,Research Training and Career Development,Intramural Postdoctoral Research Associate
FM1,Research Training and Career Development,Fellowship for Intramural Dual-Degree Scientists (FIDDS)
G07,Research and Development,Resources Improvement Grant
G08,Research and Development,Resources Project Grant (NLM)
G11,Research and Development,Extramural Associate Research Development Award (EARDA)
G12,,Research Centers in Minority Institutions Award
G13,Research and Development,Health Sciences Publication Support Awards (NLM)
G20,Construction and Modernization,"Grants for Repair, Renovation and Modernization of Existing Research Facilities"
G94,,Administrative Support for Public Health Service Agency Foundations
H13,,Conferences Active
H23,,Immunization Program
H25,,Venereal Disease Control
H28,,State and Community-Based Injury Control Programs
H50,,"Maternal and Child Health Services Project, RB Funds Active"
H57,,Indian Health Service Loan Repayment Program
H62,,Services or Education on AIDS
H64,,State and Community-Based Childhood Lead Poisoning Prevention Program
H75,,Health Investigations/Assessments of Control/Preven. Methods
H79,,Mental Health and/or Substance Abuse Services Grants
HD4,,Drug Use/Alcohol Abuse Prevention Demo: Community Partnership Study
I01,Research and Development,Non-HHS Research Projects
I80,Research and Development,DoD Research Project Grant Program (I80)
IK3,Research Training and Career Development,Non-DHHS Nursing Research Initiative
K00,Research Training and Career Development,Post-doctoral Transition Award
K01,Research Training and Career Development,Research Scientist Development Award - Research & Training
K02,Research Training and Career Development,Research Scientist Development Award - Research
K05,Research Training and Career Development,Research Scientist Award
K06,Research Training and Career Development,Research Career Awards
K07,Research Training and Career Development,Academic/Teacher Award (ATA)
K08,Research Training and Career Development,Clinical Investigator Award (CIA)
K12,Research Training and Career Development,Physician Scientist Award (Program) (PSA)
K14,Research Training and Career Development,Resource-Limited Institution Faculty Development Awards
K18,Research Training and Career Development,The Career Enhancement Award
K21,Research Training and Career Development,Scientist Development Award
K22,Research Training and Career Development,Career Transition Award
K23,Research Training and Career Development,Mentored Patient-Oriented Research Career Development Award
K24,Research Training and Career Development,Midcareer Investigator Award in Patient-Oriented Research
K25,Research Training and Career Development,Mentored Quantitative Research Career Development Award
K26,Research Training and Career Development,Midcareer Investigator Award in Biomedical and Behavioral Research
K30,Research Training and Career Development,Clinical Research Curriculum Award (CRCA)
K32,Research Training and Career Development,Academic Career Excellence (ACE) Award
K38,Research Training and Career Development,Early Stage Mentored Research and Career Development
K43,Research Training and Career Development,International Research Career Development Award
K76,Research Training and Career Development,Emerging Leaders Career Development Award
K99,Research Training and Career Development,Career Transition Award
