fiscal_year,source_file,source_column,canonical_column,disposition
2008,perm_2008.xlsx,,agent_representing_employer,absent this year
2008,perm_2008.xlsx,APPLICATION_TYPE,application_type,mapped
2008,perm_2008.xlsx,,attorney_law_firm_name,absent this year
2008,perm_2008.xlsx,CASE_NUMBER,case_number,mapped
2008,perm_2008.xlsx,CASE_STATUS,case_status,mapped
2008,perm_2008.xlsx,CLASS_OF_ADMISSION,class_of_admission,mapped
2008,perm_2008.xlsx,COUNTRY_OF_CITZENSHIP,country_of_citizenship,mapped
2008,perm_2008.xlsx,DECISION_DATE,decision_date,mapped
2008,perm_2008.xlsx,EMPLOYER_ADDRESS_1,employer_address,mapped
2008,perm_2008.xlsx,EMPLOYER_CITY,employer_city,mapped
2008,perm_2008.xlsx,,employer_country,absent this year
2008,perm_2008.xlsx,EMPLOYER_NAME,employer_name,mapped
2008,perm_2008.xlsx,,employer_num_employees,absent this year
2008,perm_2008.xlsx,EMPLOYER_POSTAL_CODE,employer_postal_code,mapped
2008,perm_2008.xlsx,EMPLOYER_STATE,employer_state,mapped
2008,perm_2008.xlsx,,employer_trade_name,absent this year
2008,perm_2008.xlsx,,employer_year_commenced_business,absent this year
2008,perm_2008.xlsx,,foreign_worker_birth_country,absent this year
2008,perm_2008.xlsx,,foreign_worker_education,absent this year
2008,perm_2008.xlsx,,full_time_position,absent this year
2008,perm_2008.xlsx,,is_multiple_worksites,absent this year
2008,perm_2008.xlsx,PW_JOB_TITLE_9089,job_title,mapped
2008,perm_2008.xlsx,,major_field_of_study,absent this year
2008,perm_2008.xlsx,,minimum_education,absent this year
2008,perm_2008.xlsx,2007_NAICS_US_CODE,naics_id,mapped
2008,perm_2008.xlsx,PW_AMOUNT_9089,prevailing_wage,mapped
2008,perm_2008.xlsx,,prevailing_wage_determination_date,absent this year
2008,perm_2008.xlsx,,prevailing_wage_expiration_date,absent this year
2008,perm_2008.xlsx,PW_LEVEL_9089,prevailing_wage_level,mapped
2008,perm_2008.xlsx,,prevailing_wage_source,absent this year
2008,perm_2008.xlsx,,prevailing_wage_tracking_number,absent this year
2008,perm_2008.xlsx,PW_UNIT_OF_PAY_9089,prevailing_wage_unit_of_pay,mapped
2008,perm_2008.xlsx,,received_date,absent this year
2008,perm_2008.xlsx,,refile,absent this year
2008,perm_2008.xlsx,,required_experience,absent this year
2008,perm_2008.xlsx,,required_experience_months,absent this year
2008,perm_2008.xlsx,,schedule_a_sheepherder,absent this year
2008,perm_2008.xlsx,PW_SOC_CODE,soc_id,mapped
2008,perm_2008.xlsx,,soc_title,absent this year
2008,perm_2008.xlsx,US_ECONOMIC_SECTOR,us_economic_sector,mapped
2008,perm_2008.xlsx,WAGE_OFFER_FROM_9089,wage_offered_from,mapped
2008,perm_2008.xlsx,WAGE_OFFER_TO_9089,wage_offered_to,mapped
2008,perm_2008.xlsx,WAGE_OFFER_UNIT_OF_PAY_9089,wage_unit_of_pay,mapped
2008,perm_2008.xlsx,,worksite_address,absent this year
2008,perm_2008.xlsx,JOB_INFO_WORK_CITY,worksite_city,mapped
2008,perm_2008.xlsx,,worksite_county,absent this year
2008,perm_2008.xlsx,,worksite_postal_code,absent this year
2008,perm_2008.xlsx,JOB_INFO_WORK_STATE,worksite_state,mapped
2008,perm_2008.xlsx,2007_NAICS_US_TITLE,,dropped: NAICS title (code is kept)
2008,perm_2008.xlsx,EMPLOYER_ADDRESS_2,,dropped: secondary worksite/wage block (primary worksite only)
2009,perm_2009.xlsx,,agent_representing_employer,absent this year
2009,perm_2009.xlsx,APPLICATION TYPE,application_type,mapped
2009,perm_2009.xlsx,,attorney_law_firm_name,absent this year
2009,perm_2009.xlsx,CASE_NUMBER,case_number,mapped
2009,perm_2009.xlsx,CASE STATUS,case_status,mapped
2009,perm_2009.xlsx,CLASS OF ADMISSION,class_of_admission,mapped
2009,perm_2009.xlsx,COUNTRY OF CITZENSHIP,country_of_citizenship,mapped
2009,perm_2009.xlsx,DECISION DATE,decision_date,mapped
2009,perm_2009.xlsx,EMPLOYER ADDRESS_1,employer_address,mapped
2009,perm_2009.xlsx,EMPLOYER CITY,employer_city,mapped
2009,perm_2009.xlsx,,employer_country,absent this year
2009,perm_2009.xlsx,EMPLOYER NAME,employer_name,mapped
2009,perm_2009.xlsx,,employer_num_employees,absent this year
2009,perm_2009.xlsx,EMPLOYER POSTAL CODE,employer_postal_code,mapped
2009,perm_2009.xlsx,EMPLOYER STATE,employer_state,mapped
2009,perm_2009.xlsx,,employer_trade_name,absent this year
2009,perm_2009.xlsx,,employer_year_commenced_business,absent this year
2009,perm_2009.xlsx,,foreign_worker_birth_country,absent this year
2009,perm_2009.xlsx,,foreign_worker_education,absent this year
2009,perm_2009.xlsx,,full_time_position,absent this year
2009,perm_2009.xlsx,,is_multiple_worksites,absent this year
2009,perm_2009.xlsx,PW JOB TITLE 9089,job_title,mapped
2009,perm_2009.xlsx,,major_field_of_study,absent this year
2009,perm_2009.xlsx,,minimum_education,absent this year
2009,perm_2009.xlsx,2007 NAICS US CODE,naics_id,mapped
2009,perm_2009.xlsx,PW AMOUNT 9089,prevailing_wage,mapped
2009,perm_2009.xlsx,,prevailing_wage_determination_date,absent this year
2009,perm_2009.xlsx,,prevailing_wage_expiration_date,absent this year
2009,perm_2009.xlsx,PW LEVEL 9089,prevailing_wage_level,mapped
2009,perm_2009.xlsx,,prevailing_wage_source,absent this year
2009,perm_2009.xlsx,,prevailing_wage_tracking_number,absent this year
2009,perm_2009.xlsx,PW UNIT OF PAY 9089,prevailing_wage_unit_of_pay,mapped
2009,perm_2009.xlsx,,received_date,absent this year
2009,perm_2009.xlsx,,refile,absent this year
2009,perm_2009.xlsx,,required_experience,absent this year
2009,perm_2009.xlsx,,required_experience_months,absent this year
2009,perm_2009.xlsx,,schedule_a_sheepherder,absent this year
2009,perm_2009.xlsx,PW SOC CODE,soc_id,mapped
2009,perm_2009.xlsx,,soc_title,absent this year
2009,perm_2009.xlsx,US ECONOMIC SECTOR,us_economic_sector,mapped
