fiscal_year,source_file,source_column,canonical_column,disposition
2008,h2a_2008.xlsx,,agent_representing_employer,absent this year
2008,h2a_2008.xlsx,,anticipated_number_of_hours,absent this year
2008,h2a_2008.xlsx,,attorney_law_firm_name,absent this year
2008,h2a_2008.xlsx,CASE_NO,case_number,mapped
2008,h2a_2008.xlsx,CASE_STATUS,case_status,mapped
2008,h2a_2008.xlsx,CERTIFICATION_BEGIN_DATE,certification_begin_date,mapped
2008,h2a_2008.xlsx,CERTIFICATION_END_DATE,certification_end_date,mapped
2008,h2a_2008.xlsx,DECISION_DATE,decision_date,mapped
2008,h2a_2008.xlsx,,education_level,absent this year
2008,h2a_2008.xlsx,,emergency_filing,absent this year
2008,h2a_2008.xlsx,EMPLOYER_ADDRESS1,employer_address,mapped
2008,h2a_2008.xlsx,EMPLOYER_CITY,employer_city,mapped
2008,h2a_2008.xlsx,,employer_country,absent this year
2008,h2a_2008.xlsx,EMPLOYER_NAME,employer_name,mapped
2008,h2a_2008.xlsx,EMPLOYER_POSTAL_CODE,employer_postal_code,mapped
2008,h2a_2008.xlsx,EMPLOYER_STATE,employer_state,mapped
2008,h2a_2008.xlsx,,employer_trade_name,absent this year
2008,h2a_2008.xlsx,,employment_begin_date,absent this year
2008,h2a_2008.xlsx,,employment_end_date,absent this year
2008,h2a_2008.xlsx,,frequency_of_pay,absent this year
2008,h2a_2008.xlsx,,full_time_position,absent this year
2008,h2a_2008.xlsx,,h2a_labor_contractor,absent this year
2008,h2a_2008.xlsx,,housing_city,absent this year
2008,h2a_2008.xlsx,,housing_state,absent this year
2008,h2a_2008.xlsx,,housing_total_occupancy,absent this year
2008,h2a_2008.xlsx,,housing_type,absent this year
2008,h2a_2008.xlsx,,job_order_number,absent this year
2008,h2a_2008.xlsx,JOB_TITLE,job_title,mapped
2008,h2a_2008.xlsx,,meals_provided,absent this year
2008,h2a_2008.xlsx,,naics_id,absent this year
2008,h2a_2008.xlsx,,nature_of_temporary_need,absent this year
2008,h2a_2008.xlsx,,overtime_rate_from,absent this year
2008,h2a_2008.xlsx,,overtime_rate_to,absent this year
2008,h2a_2008.xlsx,,piece_rate_offer,absent this year
2008,h2a_2008.xlsx,,piece_rate_unit,absent this year
2008,h2a_2008.xlsx,,primary_crop,absent this year
2008,h2a_2008.xlsx,CASE_RECEIVED_DATE,received_date,mapped
2008,h2a_2008.xlsx,,requested_begin_date,absent this year
2008,h2a_2008.xlsx,,requested_end_date,absent this year
2008,h2a_2008.xlsx,,soc_id,absent this year
2008,h2a_2008.xlsx,,soc_title,absent this year
2008,h2a_2008.xlsx,,total_worksite_records,absent this year
2008,h2a_2008.xlsx,APPLICATION_TYPE,type_of_employer_application,mapped
2008,h2a_2008.xlsx,,visa_class,absent this year
2008,h2a_2008.xlsx,BASIC_RATE_OF_PAY,wage_offered_from,mapped
2008,h2a_2008.xlsx,BASIC_UNIT_OF_PAY,wage_unit_of_pay,mapped
2008,h2a_2008.xlsx,,work_experience_months,absent this year
2008,h2a_2008.xlsx,NBR_WORKERS_CERTIFIED,workers_certified,mapped
2008,h2a_2008.xlsx,,workers_requested,absent this year
2008,h2a_2008.xlsx,,worksite_address,absent this year
2008,h2a_2008.xlsx,,worksite_city,absent this year
2008,h2a_2008.xlsx,,worksite_county,absent this year
2008,h2a_2008.xlsx,,worksite_postal_code,absent this year
2008,h2a_2008.xlsx,ALIEN_WORK_STATE,worksite_state,mapped
2008,h2a_2008.xlsx,AGENT_ATTORNEY_CITY,,dropped: attorney/agent personal details
2008,h2a_2008.xlsx,AGENT_ATTORNEY_NAME,,dropped: attorney/agent personal details
2008,h2a_2008.xlsx,AGENT_ATTORNEY_STATE,,dropped: attorney/agent personal details
2008,h2a_2008.xlsx,ALIEN_WORK_CITY,,"dropped: legacy H-2A worksite city, superseded by WORKSITE_CITY"
2008,h2a_2008.xlsx,EMPLOYER_ADDRESS2,,dropped: secondary worksite/wage block (primary worksite only)
2008,h2a_2008.xlsx,ORGANIZATION_FLAG,,duplicate of type_of_employer_application
2009,h2a_2009.xlsx,,agent_representing_employer,absent this year
2009,h2a_2009.xlsx,,anticipated_number_of_hours,absent this year
2009,h2a_2009.xlsx,,attorney_law_firm_name,absent this year
2009,h2a_2009.xlsx,CASE_NO,case_number,mapped
2009,h2a_2009.xlsx,CASE_STATUS,case_status,mapped
2009,h2a_2009.xlsx,CERTIFICATION_BEGIN_DATE,certification_begin_date,mapped
2009,h2a_2009.xlsx,CERTIFICATION_END_DATE,certification_end_date,mapped
2009,h2a_2009.xlsx,DECISION_DATE,decision_date,mapped
2009,h2a_2009.xlsx,,education_level,absent this year
2009,h2a_2009.xlsx,,emergency_filing,absent this year
2009,h2a_2009.xlsx,EMPLOYER_ADDRESS1,employer_address,mapped
2009,h2a_2009.xlsx,EMPLOYER_CITY,employer_city,mapped
2009,h2a_2009.xlsx,,employer_country,absent this year
2009,h2a_2009.xlsx,EMPLOYER_NAME,employer_name,mapped
2009,h2a_2009.xlsx,EMPLOYER_POSTAL_CODE,employer_postal_code,mapped
2009,h2a_2009.xlsx,EMPLOYER_STATE,employer_state,mapped
2009,h2a_2009.xlsx,,employer_trade_name,absent this year
2009,h2a_2009.xlsx,,employment_begin_date,absent this year
2009,h2a_2009.xlsx,,employment_end_date,absent this year
2009,h2a_2009.xlsx,,frequency_of_pay,absent this year
2009,h2a_2009.xlsx,,full_time_position,absent this year
2009,h2a_2009.xlsx,,h2a_labor_contractor,absent this year
2009,h2a_2009.xlsx,,housing_city,absent this year
2009,h2a_2009.xlsx,,housing_state,absent this year
2009,h2a_2009.xlsx,,housing_total_occupancy,absent this year
2009,h2a_2009.xlsx,,housing_type,absent this year
2009,h2a_2009.xlsx,,job_order_number,absent this year
2009,h2a_2009.xlsx,JOB_TITLE,job_title,mapped
2009,h2a_2009.xlsx,,meals_provided,absent this year
2009,h2a_2009.xlsx,,naics_id,absent this year
2009,h2a_2009.xlsx,,nature_of_temporary_need,absent this year
2009,h2a_2009.xlsx,,overtime_rate_from,absent this year
2009,h2a_2009.xlsx,,overtime_rate_to,absent this year
2009,h2a_2009.xlsx,,piece_rate_offer,absent this year
2009,h2a_2009.xlsx,,piece_rate_unit,absent this year
2009,h2a_2009.xlsx,,primary_crop,absent this year
2009,h2a_2009.xlsx,CASE_RECEIVED_DATE,received_date,mapped
2009,h2a_2009.xlsx,REQUESTED_START_DATE_OF_NEED,requested_begin_date,mapped
2009,h2a_2009.xlsx,REQUESTED_END_DATE_OF_NEED,requested_end_date,mapped
2009,h2a_2009.xlsx,,soc_id,absent this year
