name,bigquery_type,description,temporal_coverage,covered_by_dictionary,directory_column,measurement_unit,has_sensitive_data,observations,original_name,description_en,description_es,observations_en,observations_es
ano,INT64,Ano de publicação do registro no PNCP,2021(1)2026,no,br_bd_diretorios_data_tempo.ano:ano,year,no,"Coluna de partição, derivada da data de publicação no PNCP",dataPublicacaoPncp,Year the record was published on PNCP,Año de publicación del registro en el PNCP,"Partition column, derived from the publication date on PNCP","Columna de partición, derivada de la fecha de publicación en el PNCP"
id_ata_pncp,STRING,"Número de controle da ata no PNCP, identificador único do registro",,no,,,no,,numeroControlePNCPAta,"PNCP control number of the price registration record, its unique identifier","Número de control del acta en el PNCP, identificador único del registro",,
id_contratacao_pncp,STRING,Número de controle no PNCP da contratação que originou a ata,,no,,,no,Chave de ligação com a tabela contratacao,numeroControlePNCPCompra,PNCP control number of the tender that originated the record,Número de control en el PNCP de la contratación que originó el acta,Join key to the contratacao table,Clave de enlace con la tabla contratacao
numero_ata,STRING,Número da ata de registro de preços atribuído pelo órgão,,no,,,no,,numeroAtaRegistroPreco,Number of the price registration record assigned by the agency,Número del acta de registro de precios asignado por el órgano,,
ano_ata,INT64,Ano da ata de registro de preços,,no,,year,no,,anoAta,Year of the price registration record,Año del acta de registro de precios,,
cnpj_orgao,STRING,CNPJ do órgão ou entidade responsável pela ata,,no,,,no,,cnpjOrgao,CNPJ of the agency or entity responsible for the record,CNPJ del órgano o entidad responsable del acta,,
nome_orgao,STRING,Nome do órgão ou entidade responsável pela ata,,no,,,no,,nomeOrgao,Name of the agency or entity responsible for the record,Nombre del órgano o entidad responsable del acta,,
codigo_unidade,STRING,Código da unidade administrativa responsável pela ata,,no,,,no,,codigoUnidadeOrgao,Code of the administrative unit responsible for the record,Código de la unidad administrativa responsable del acta,,
nome_unidade,STRING,Nome da unidade administrativa responsável pela ata,,no,,,no,,nomeUnidadeOrgao,Name of the administrative unit responsible for the record,Nombre de la unidad administrativa responsable del acta,,
cnpj_orgao_subrogado,STRING,CNPJ do órgão sub-rogado responsável pela ata,,no,,,no,,cnpjOrgaoSubrogado,CNPJ of the subrogated agency responsible for the record,CNPJ del órgano subrogado responsable del acta,,
nome_orgao_subrogado,STRING,Nome do órgão sub-rogado responsável pela ata,,no,,,no,,nomeOrgaoSubrogado,Name of the subrogated agency responsible for the record,Nombre del órgano subrogado responsable del acta,,
codigo_unidade_subrogada,STRING,Código da unidade administrativa sub-rogada,,no,,,no,,codigoUnidadeOrgaoSubrogado,Code of the subrogated administrative unit,Código de la unidad administrativa subrogada,,
nome_unidade_subrogada,STRING,Nome da unidade administrativa sub-rogada,,no,,,no,,nomeUnidadeOrgaoSubrogado,Name of the subrogated administrative unit,Nombre de la unidad administrativa subrogada,,
objeto_contratacao,STRING,Descrição do objeto da contratação registrada na ata,,no,,,no,,objetoContratacao,Description of the object of the tender recorded in the price registration record,Descripción del objeto de la contratación registrada en el acta,,
indicador_cancelado,BOOLEAN,Indica se a ata foi cancelada,,no,,,no,,cancelado,Whether the record has been cancelled,Indica si el acta fue cancelada,,
indicador_possibilidade_adesao,BOOLEAN,Indica se a ata admite adesão por outros órgãos,,no,,,no,"O PNCP só passou a preencher este campo em 2026: amostragem não nula em 0/13 registros em 2022-09-08 e 0/500 em 2025-03-11, contra 347/500 em 2026-06-10. Espera-se vazio nos anos anteriores",possibilidadeAdesao,Whether other agencies may join the record,Indica si el acta admite adhesión por otros órganos,"PNCP only began populating this field during 2026: sampled non-null in 0/13 records for 2022-09-08 and 0/500 for 2025-03-11, against 347/500 for 2026-06-10. Expect it empty for earlier years","El PNCP solo comenzó a completar este campo en 2026: muestreo no nulo en 0/13 registros el 2022-09-08 y 0/500 el 2025-03-11, frente a 347/500 el 2026-06-10. Se espera vacío en los años anteriores"
data_assinatura,DATE,Data de assinatura da ata,,no,,,no,,dataAssinatura,Date the record was signed,Fecha de firma del acta,,
data_vigencia_inicio,DATE,Data de início da vigência da ata,,no,,,no,,vigenciaInicio,Start date of the record's term,Fecha de inicio de la vigencia del acta,,
data_vigencia_fim,DATE,Data de término da vigência da ata,,no,,,no,,vigenciaFim,End date of the record's term,Fecha de término de la vigencia del acta,,
data_cancelamento,DATE,Data de cancelamento da ata,,no,,,no,,dataCancelamento,Date the record was cancelled,Fecha de cancelación del acta,,
data_publicacao,DATE,Data de publicação do registro no PNCP,,no,,,no,,dataPublicacaoPncp,Date the record was published on PNCP,Fecha de publicación del registro en el PNCP,,
data_atualizacao,DATE,Data da última atualização global do registro no PNCP,,no,,,no,"Usada para desduplicar múltiplas versões do mesmo registro, mantendo a mais recente",dataAtualizacaoGlobal,Date of the last global update of the record on PNCP,Fecha de la última actualización global del registro en el PNCP,"Used to deduplicate multiple versions of the same record, keeping the most recent","Utilizada para deduplicar múltiples versiones del mismo registro, conservando la más reciente"
