sic,office,industry_title
0100,Industrial Applications and Services,AGRICULTURAL PRODUCTION-CROPS
0200,Industrial Applications and Services,AGRICULTURAL PROD-LIVESTOCK & ANIMAL SPECIALTIES
0700,Industrial Applications and Services,AGRICULTURAL SERVICES
0800,Industrial Applications and Services,FORESTRY
0900,Industrial Applications and Services,"FISHING, HUNTING AND TRAPPING"
1000,Office of Energy & Transportation,METAL MINING
1040,Office of Energy & Transportation,GOLD AND SILVER ORES
1090,Office of Energy & Transportation,MISCELLANEOUS METAL ORES
1220,Office of Energy & Transportation,BITUMINOUS COAL & LIGNITE MINING
1221,Office of Energy & Transportation,BITUMINOUS COAL & LIGNITE SURFACE MINING
1311,Office of Energy & Transportation,CRUDE PETROLEUM & NATURAL GAS
1381,Office of Energy & Transportation,DRILLING OIL & GAS WELLS
1382,Office of Energy & Transportation,OIL & GAS FIELD EXPLORATION SERVICES
1389,Office of Energy & Transportation,"OIL & GAS FIELD SERVICES, NEC"
1400,Office of Energy & Transportation,MINING & QUARRYING OF NONMETALLIC MINERALS (NO FUELS)
1520,Office of Real Estate & Construction,GENERAL BLDG CONTRACTORS - RESIDENTIAL BLDGS
1531,Office of Real Estate & Construction,OPERATIVE BUILDERS
1540,Office of Real Estate & Construction,GENERAL BLDG CONTRACTORS - NONRESIDENTIAL BLDGS
1600,Office of Real Estate & Construction,HEAVY CONSTRUCTION OTHER THAN BLDG CONST - CONTRACTORS
1623,Office of Real Estate & Construction,"WATER, SEWER, PIPELINE, COMM & POWER LINE CONSTRUCTION"
1700,Office of Real Estate & Construction,CONSTRUCTION - SPECIAL TRADE CONTRACTORS
1731,Office of Real Estate & Construction,ELECTRICAL WORK
2000,Office of Manufacturing,FOOD AND KINDRED PRODUCTS
2011,Office of Manufacturing,MEAT PACKING PLANTS
2013,Office of Manufacturing,SAUSAGES & OTHER PREPARED MEAT PRODUCTS
2015,Office of Manufacturing,POULTRY SLAUGHTERING AND PROCESSING
2020,Office of Manufacturing,DAIRY PRODUCTS
2024,Office of Manufacturing,ICE CREAM & FROZEN DESSERTS
2030,Office of Manufacturing,"CANNED, FROZEN & PRESERVD FRUIT, VEG & FOOD SPECIALTIES"
2033,Office of Manufacturing,"CANNED, FRUITS, VEG, PRESERVES, JAMS & JELLIES"
2040,Office of Manufacturing,GRAIN MILL PRODUCTS
