index_name,index_code
Accessories,97557
Accessories and clothing services,97556
Alcohol and tobacco,20006
Alcoholic beverages,30026
All groups CPI,10001
"Audio, visual and computing equipment",40098
"Audio, visual and computing equipment and services",131193
"Audio, visual and computing media and services",131190
Automotive fuel,40081
Beef and veal,40009
Beer,40087
Books,97567
Bread,40005
Bread and cereal products,30002
Breakfast cereals,40007
Cakes and biscuits,40006
Carpets and other floor coverings,131185
Cheese,40002
Child care,115498
Cleaning and maintenance products,40067
"Cleaning, repair and hire of clothing and footwear",40048
Clothing and footwear,20002
"Coffee, tea and cocoa",40030
Communication,115488
Dairy and related products,30001
Dental services,40093
Deposit and loan facilities (direct charges),131194
Domestic and household services,97565
Domestic holiday travel and accommodation,40101
Education,115493
Eggs,40027
Electricity,40055
"Equipment for sports, camping and open-air recreation",97571
Financial services,131195
Fish and other seafood,40015
Food additives and condiments,97549
Food and non-alcoholic beverages,20001
Food products n.e.c.,131179
Footwear,30012
Footwear for infants and children,40047
Footwear for men,40045
Footwear for women,40046
Fruit,114121
Fruit and vegetables,114120
"Furnishings, household equipment and services",20004
Furniture,40058
Furniture and furnishings,131184
"Games, toys and hobbies",97572
Garments,131181
Garments for infants and children,97555
Garments for men,97551
Garments for women,97554
Gas and other household fuels,115524
"Glassware, tableware and household utensils",115485
Hairdressing and personal grooming services,40096
Health,115486
Holiday travel and accommodation,30033
"Household appliances, utensils and tools",97561
Household textiles,131182
Housing,20003
Ice cream and other dairy products,40004
Insurance,115528
Insurance and financial services,126670
International holiday travel and accommodation,40102
"Jams, honey and spreads",40029
Lamb and goat,40010
Maintenance and repair of motor vehicles,40085
Maintenance and repair of the dwelling,40053
Major household appliances,40060
Meals out and take away foods,30007
Meat and seafoods,30003
Medical and hospital services,40091
"Medical products, appliances and equipment",131188
"Medical, dental and hospital services",131189
Milk,40001
Motor vehicles,40080
New dwelling purchase by owner-occupiers,131186
"Newspapers, books and stationery",131191
"Newspapers, magazines and stationery",131192
Non-alcoholic beverages,131180
Non-durable household products,97563
Oils and fats,97550
Other cereal products,40008
Other financial services,1144
Other food products n.e.c.,40034
Other household services,115500
Other housing,131187
Other meats,40014
Other non-durable household products,97564
"Other recreation, sport and culture",115492
"Other recreational, sporting and cultural services",97574
Other services in respect of motor vehicles,40083
Personal care products,40095
Pets and related products,40073
Pharmaceutical products,40094
Pork,131178
Postal services,40077
Poultry,40012
Preschool and primary education,115495
Private motoring,30024
Property rates and charges,97560
Recreation and culture,115489
Rents,115522
Restaurant meals,40025
Secondary education,115496
Small electric household appliances,115484
Snacks and confectionery,115501
Spare parts and accessories for motor vehicles,40084
Spirits,40089
Sports participation,97573
Take away and fast foods,40026
Telecommunication equipment and services,40078
Tertiary education,115497
Therapeutic appliances and equipment,40092
Tobacco,30027
Tools and equipment for house and garden,40066
Transport,20005
Urban transport fares,30025
Utilities,30016
Vegetables,114122
Veterinary and other services for pets,40072
Water and sewerage,97558
"Waters, soft drinks and juices",115520
Wine,40088
